name,status
Bixti.com,operating
RAZ Mobile,operating
FiveCubits,operating
Larotec,closed
Duck Duck Moose,operating
Arts & Analytics,closed
Learnerator,operating
Organic Pizza Kitchen,closed
WebStudiyo Productions,operating
Outitude,operating
Tesoro Enterprises,operating
trinket,closed
CarZen,operating
MyTelemedicine.com,operating
ORIC Pharmaceuticals,operating
Datasnap.io,closed
in2apps,operating
Warwick Analytical Software Limited,operating
VIP SOUL,closed
Distributed Energy Management,operating
Skyrider,operating
RouterShare,closed
Drone Aviation,closed
Fastly,operating
Physiostream,closed
MediaCore,operating
DooBop,closed
"Radio Revolution Network, LLC",operating
Delighted,operating
Oshiboree,operating
Secant Therapeutics,closed
YOHO,operating
PlayFirst,operating
Maguru.dk,operating
DoubleDutch,operating
S.Chand & Company,closed
Evergage,operating
AllTranz,operating
Global Analytics,operating
Beijing iChao Online Science and Technology,closed
Modenus Media,operating
IceCream,operating
Wave3Studio,operating
LaunchCenter 39,operating
Becker College,operating
SOV Therapeutics,operating
DogVacay,operating
DemandTec,operating
CanvasFilp,closed
Cyto Wave Technologies,closed
Charm City Food Tours,operating
Digital Health Outcomes,operating
VeriCenter,operating
Mangstor,operating
audibene,operating
Inventure Enterprises,operating
Gazillion Entertainment,operating
Coradiant,operating
Lifeables,operating
"Likeminder, Inc.",operating
Hobo Labs,operating
BlueAnatomy,operating
SBA Bank Loans,operating
BorderX Lab,operating
Banister Works,operating
Harri,operating
Phantom Fiber,operating
GraphAlchemist,operating
Arsenal Medical,operating
A&L Technology,operating
Jmdedu.com,operating
IntelinAir,closed
Zixi,operating
Dodonation,operating
Kotak Urja,operating
Ninsight Broadcast,operating
Morgan Daniels Training Ltd,closed
Jaeger,operating
BioMimetix Pharmaceutical,operating
BOATHOUSE ROW SPORTS,operating
Keiz Marshall Performing Arts Academy,closed
Mithridion,operating
Skyepack,operating
ArrowPoint Communications,operating
eTukTuk,operating
Wiral Internet Group,operating
RxData,operating
Zefanclub,operating
Synchronicity.co,operating
All in One Medical,operating
Trendy Butler,operating
Flipora,operating
TriState Capital,operating
Vuzix,operating
GetYou,closed
Undercover Colors,operating
Journeys,operating
SafetyTat,operating
Société Internationale de Plantations d'Hévéas,operating
aXess america,closed
Browsarity,operating
ArtBinder,operating
First V1sion,operating
Seesmic,operating
Irynsoft,operating
OneCubicle,operating
Emergent Payments,operating
Fair Winds Brewing,operating
Believe.in,operating
MegaHoot,operating
MedTel.com,operating
Farmainstant,operating
Bontact,operating
UeeeU.com,operating
OmniSky,closed
3Dmena,operating
iCatapult,operating
SquadLocker,operating
SameDay Security,operating
peerfit,operating
Toucan Global,operating
Eve,operating
ACTIV Financial Systems,operating
NORCAT,operating
ibabybox,operating
Algenetix,operating
eyetok,operating
Sapience Analytics Private Limited,operating
Red Mango,operating
Myndbee Inc.,operating
Matricore,operating
YUME kids wear,operating
Citydeal.de,closed
isaac10 GmbH,closed
IPLSHOP Brasil,operating
Cazoodle,operating
Reality Crowd TV Media Corporation,operating
Cityblis,closed
Keebitz,operating
"Workiva, Inc.",operating
MindEdge,operating
Wrike,operating
TUTORize,operating
People Interactive (India),operating
PSYLIN NEUROSCIENCES,operating
Aidhenscorner,operating
DoubleVerify,operating
Versium,closed
Achieve Financial Services,operating
Playbuzz,operating
FanTrail,closed
Implicit Monitoring Solutions,operating
US Toxicology,operating
Omnireliant,operating
Wiseryou,operating
Ampex,operating
Blueshift International Materials,operating
Arctic Island LLC,operating
Kapost,operating
GiveGab,closed
Antera Therapeutics,closed
MECLUB,operating
Koibanx,operating
Fluency,operating
WITS(MD),operating
Vimessa,operating
Solulink,operating
Tailor Made Oil,operating
Indochino,operating
Wallix,operating
Wivo,operating
Averna,operating
Overture Technologies,operating
Bluespec,operating
Boom Financial,operating
DerbySoft,operating
Matchmaker Videos,operating
Brandwatch,operating
OnSite Access,operating
DvineWave,operating
Kalibrr,operating
Helios Towers Africa,operating
SPF Solutions,closed
wezzoo,operating
Syndero,operating
Ardelyx,operating
Post-A-Vox,operating
One On One,closed
ACCESS Bill Pay Services,operating
MacroGenics,operating
Anthology Solutions,operating
EcoPort,operating
Training Intelligence,operating
NXTM,operating
Picofemto,operating
Bancha,operating
InfoReady,operating
Virtual Web,operating
Uklipz Social Media Inc,operating
Manflu,closed
Apani Networks,operating
United LED Corporation,operating
AirCell,operating
Adjacent Applications,closed
"MoveableCode, Inc.",operating
Aptean,operating
ClaraStream,closed
Myngle,operating
Plutio,operating
Hydro-Photon,operating
UsabilityTools,closed
American Discount Pharmacy Crop,operating
Testif,operating
Endorse,operating
Aniboom,operating
ES Holdings,operating
Frilp,operating
Ucha.se,operating
Immune Therapeutics,operating
eeden,operating
OneAccess,operating
Xumii,operating
Bamatea,operating
VIP Parking,operating
Ingeliance,operating
tripMD,operating
Iron Will Innovations,operating
TicketFire,operating
Afoundria,operating
Specialized Tech,operating
Lawnmower,operating
The Ahtlete's Business Network,closed
SBR Health,operating
Energy Harvesters LLC,operating
WetFeet,operating
Seneco,operating
TeleRetail Corporation,closed
dacadoo,operating
Money Forward,operating
Enertec Systems,operating
Accelerate Diagnostics,operating
ArcSoft,operating
E-Generator,operating
Power OLEDs,operating
Doctor At Work,closed
Active Life Scientific,operating
Moya Okruga,closed
EsLife,closed
Cordium,operating
ExTractApps,operating
SpotHero,operating
Blowhorn,operating
Loki Studios,operating
BrightSide Software,operating
GemShare,closed
Raynforest,operating
IBUonline,operating
VSware,operating
Ortopedio.pl,operating
Comic Wonder,closed
EXPO Communications,operating
JamLegend,closed
Brainlike,operating
Marginize,operating
ShoutEm,operating
Yardbarker Network,operating
Cloudintelligence,operating
Apprats,operating
NEURA Energy Systems,closed
Observe Design,closed
Food Quality Sensor International,operating
CTS Media,operating
payleven,operating
MyGrove Media,operating
BroadWare Technologies,operating
Line-Up,operating
Wish,operating
Quartix,closed
BragThis.com,operating
Yagomart,operating
Vylkira Games,operating
Cinnamon Social,operating
NexCura,operating
Kippt,closed
Advanced Marketing & Media Group,operating
Stellarray,operating
MainStreet Bank,operating
Personera,operating
Clio,operating
HowDo,operating
Mplife.com,operating
Roojoom,operating
Sideband Networks,operating
getupp,operating
TutorTap,operating
Intelligent Mobile Support,operating
Greendimes,operating
Medpike,operating
"Thoughtful Research, Inc.",operating
Modern Guild,operating
Furious Corp,operating
Telnext Communications,operating
Adelphic,operating
Montondo Trailer,operating
Wibbu,operating
YouChe.com,closed
Flexis,closed
Pique Therapeutics,operating
Circle Technology,closed
CARsgen Therapeutics,closed
CentrPort,operating
NoteWagon,operating
The Better Software Company,operating
PriceWaiter,operating
Atlantis Computing,operating
MyOptique Group,operating
Daintree Networks,operating
start A FIRE,operating
Green Earth Aerogel Technologies,operating
6connect,closed
BioScience,operating
JustFab,operating
MoneyLion,operating
Dot Medical,operating
Mondeca,operating
JH Network,operating
Blooom,closed
Greenline Industries,operating
Bonial International Group,operating
Going Green Today,operating
Adtile Technologies Inc.,operating
Petizens.com,closed
Socar,operating
RenovoRx,operating
Eka Systems,operating
ZOOT,operating
Certify Data Systems,operating
Urbita,operating
CopperGate Communications,operating
fishfishme,operating
Little,operating
Govini,operating
BidRazor,operating
Handy,operating
Vigme,operating
RootsRated,operating
DailyWorth,operating
CromoUp,operating
AgraQuest,operating
TrenStar,operating
Nanotech Semiconductor,operating
BlueTurtleBio Technologies,closed
UDR,operating
EDP Biotech,operating
Viirt,operating
Gotta'go Personal Care Device,operating
Hungrio,operating
Fiveworx,operating
Trapit,operating
Breadcrumbtracking,closed
How do you roll?,closed
Autonet Mobile,operating
Tourism4me,operating
Tobuy,operating
iHydrate,operating
Linkfluence,operating
Skyatlas,operating
Panda Security,operating
International Gaming League,operating
FreeAgent,operating
Mu Dynamics,operating
Gigfairy,operating
Datavail,operating
EverString,operating
NeuroBionics,operating
mVakil - Track Court Cases Live,operating
Monstar Lab,operating
BedyCasa,operating
Flow Traders,operating
Playhem,operating
CrowdRating,operating
Nusirt,operating
Cooper's Classics,operating
SelfDrvn Enterprise Pte Ltd,closed
Spock,operating
Get your job!,closed
Alpha (fitness),operating
Touristlink,operating
Aramsco,operating
Simpirica Spine,operating
XPD Media,operating
Zoliro,operating
Bidu Corretora,operating
Cerapedics,closed
Andoayudando.com,closed
Ammado AG,operating
GameTube,operating
Diffusion Pharmaceuticals,operating
Netherin Enterprises,operating
BookDoc,operating
ViewCast,operating
SCONTO DIGITALE,operating
Vtrim,operating
Knowta,closed
Shopilist,operating
DameJidlo,operating
Captain Wise,operating
Novalys,operating
Top100.cn,operating
Petsy,operating
ICE Technologies,operating
Attender,operating
Greener Expressions,closed
Genuine People,closed
Spectral Edge,operating
Factual,operating
Rockbot,operating
MyPermissions,operating
Shopear,operating
Laiyaoyao,operating
L2C,operating
Organics Rx,operating
Theranostics Health,operating
ThinkSmart,closed
RegeneMed,operating
Tiger Pistol,operating
TheFamily,operating
MTPV,operating
Control4,operating
Surgery Center at Tanasbourne,operating
Tasteful,operating
B-Side Entertainment,operating
Energy Focus,closed
MoboFree,operating
InstantQ,operating
Genomic Vision,operating
Antelope Surgical Navigation,operating
SenseLabs (formerly Neurotopia),operating
Undertone,operating
Ozmosis,operating
Class Travel Pty Ltd,operating
LibriLoop,closed
CloudWork,operating
CEVEC Pharmaceuticals,operating
CDI Bioscience,operating
BriefCam,operating
SummuS Render,operating
ALUHEAT,operating
PresseTrends.com,operating
CloudAcademy,operating
Blue Triangle Technologies,operating
Vitalea Science,operating
Dailymotion,operating
Linkable Networks,closed
Raymedica,operating
Incluyeme.com,operating
Accendo Therapeutics,operating
"Yaga, Inc.",operating
BestSecret.com,closed
Outcomes for Children,operating
Pinger,operating
Shop pirate,closed
WellTek,operating
Hiveplay,operating
"hopOn, Inc.",closed
DVDPlay,operating
120 Sports,operating
Mr Banana,operating
CliniCast,operating
3sun,operating
VATBox,operating
Actionality,operating
Valencell,closed
Piku Media K.K.,operating
Squirro,operating
ProNewTech S.A.,operating
SuiteLinq,closed
DataGravity,operating
Advalight,operating
Ravenflow,operating
Avalon Solutions Group,operating
FRNZ labs,operating
Streamworks Products Group(SPG),operating
Worldzen Holdings,closed
Poetica,operating
PartyWithMe,operating
HiveLive,operating
Oldelft Ultrasound,operating
Resonant Sensors Inc.,operating
Pombai,operating
Health2Sync,operating
Eureka Therapeutics,operating
Cybronics,operating
Insureon,operating
Trusted Opinion,closed
Gemisimo,operating
Toutiao,operating
Genable Technologies Ltd.,operating
Eat Kid Friendly,operating
Indoorgo Navigation Systems ltd.,operating
Medyria,closed
Language Logistics,operating
Chemayi,operating
Tour Desk,closed
Survios,operating
"Ryan-O, Inc",operating
Plutus Software,closed
eSNF,operating
RegulatoryBinder,closed
EmployeeReferrals.com,operating
Sirion Therapeutics,operating
EstatesDirect.com,operating
Koru,operating
Onyvax,operating
I & Combine,operating
MarkMonitor,closed
AdsWizz,operating
Gaiacom Wireless Networks,operating
artaculous,operating
B-sm@rk,operating
Polygon Games,operating
Heavenly Foods,operating
C4Robo,operating
Limei Advertising,operating
CareerImp,operating
Brite Health,operating
Stor Networks,operating
Identification Solutions,operating
Dyme.co,operating
Unsocial,operating
Wovn,operating
RepUp,operating
MyCheck,operating
ConjuChem,closed
Aiming,operating
Zola,operating
Litigain,operating
Popularo,operating
Hit Streak Music,operating
John Carroll University,operating
Glaxstar,operating
Airsynergy,operating
LiB,operating
QBotix,operating
TenXc Wireless,closed
BlackStar Technologies,operating
Dauntless Pharmaceuticals,operating
The Optima,operating
Quadia Online Video,operating
SonarMed,operating
Crowd Fusion,closed
MotherKnows,operating
Primary Real Estate Solutions,operating
Shift Payments,closed
Aegis Oil,operating
Rhythm Networks,operating
DIY Shop,operating
Itaro,operating
BasicGov Systems,operating
Capital Match,operating
Source3,operating
Discoverly,operating
CorkSharing,operating
CureDM,operating
The Surgical Center,operating
BrabbleTV.com LLC,closed
NexGear,operating
Deminos,operating
Bright Willow,operating
Flypad,closed
SmartSynch,operating
Jottr,operating
RegainGo,operating
Akustica,operating
Orthocone,operating
SiliconStor,operating
Tripshare,operating
PhotoSecure,closed
PayDragon,operating
Pathogen Systems,operating
Vouchercloud,closed
Shizen Energy Inc.,closed
TapZilla,closed
AdWired,closed
Acendre,operating
Struq,closed
Pepscan,operating
One Africa Media,closed
EveryMove,operating
Australian American Mining Corporation,operating
Micro Tempus Inc.,operating
IQ Logic,operating
Zhijiang Jonway Automobile,operating
Pound Rockout Workout,operating
GreenOffOn,closed
nestpick,closed
Fantasy Feud,closed
Beijing Infinite World,operating
Adstrix,operating
Carbon Salon,operating
Body Labs,closed
Citizens Rx,operating
Corventis,closed
Ornicept,operating
Global Yodel,operating
Music Kickup,operating
c6 Software Corporation,operating
Masteriya,operating
Better Schools Project,operating
eTool.io,operating
Prozo.com,operating
Mpex Pharmaceuticals,operating
HeadSense Medical,operating
Chatty,closed
Vendobots,operating
EasyTek,operating
Edison Nation,operating
Solidagex,operating
Nexosis,operating
Concerto Healthcare,operating
Pando Networks,operating
Salix Pharmaceuticals,operating
Teddy The Guardian,operating
Tasted Menu,operating
Trov,operating
MobilyTrip,operating
Snapbridge Software,operating
CleveX,closed
"Solebrity, Inc.",operating
Socotra,operating
Baxi,operating
Zambah,closed
Knomad,closed
"Lend Street Financial, Inc.",operating
Zepteon,operating
MyFitnessPal,operating
ExtremeOcean Innovation,operating
Everyone Counts,operating
Xerographic Document Solutions,operating
Anchor Fabrication,operating
AppsFunder,operating
TransUnion,operating
PHYSICIANS IMMEDIATE CARE,operating
SoftGenetics,operating
World Surveillance Group,operating
makr,closed
Agrostar,operating
ActiveSec,operating
Actus Digital,operating
Benesight,operating
Global Online Devices,operating
Perez Forensic Strategies,operating
CareDox,operating
Attunity,operating
LinkCloud,operating
Greenling,operating
Winnin,closed
Simplificare,closed
Emay Softcom,operating
IASIS Healthcare,closed
"Icagen, Inc.",operating
Stylight,operating
Rakuten,operating
Community Leader,operating
ThreatTrack Security,closed
Unowhy,operating
Jigsaw Meeting,operating
Desert Industrial X-Ray,operating
FASTNET,operating
Gordian Surgical,operating
geoLOGIC,operating
Analyte Logic,operating
Kinems Learning Games,closed
IdenIve,operating
Philoptima,operating
Volance,operating
Avidbank Holdings,operating
Travel Desiya,operating
Recommendo,operating
Centrix Software,operating
The Nature Conservancy,operating
Ektitaby,operating
Jordan Valley Semiconductors,operating
Optichron,operating
SMITH (formerly Ascentium),operating
NEXT Co,operating
AbsolutData,operating
Sixth Domain,operating
Eridan Technology,closed
Mogi,operating
Grab Media,operating
Skribit,closed
EgTran,operating
Entropic,operating
Grid20/20,operating
Voyence,operating
Xompass,operating
OurOldGroup,operating
Vir-Sec,operating
Glowpoint,operating
MicroPower Global,operating
Mask.it,operating
SafeShot Technologies,operating
Kollabora,closed
Mlog,operating
BullseyeEngagement,operating
Outsource Partners International,operating
Mobile Patrol,operating
Arkivum,operating
Voy al Doc,operating
Ambow Education,operating
Life On Air,operating
"Xylo, Inc",operating
Nexamp,operating
ClubKviar,operating
Elderscan,operating
PathCentral,operating
Sovi,closed
Spry Hive Industries,operating
Hello Heart,operating
Backupify,operating
sulekha.com,operating
Attainia,operating
Pomello,operating
Flirq,operating
FuelFilm,closed
RedSeguro,operating
Hampoo Science & Technology,operating
MBDC Media,operating
Spinback,operating
Zazoom Media Group,operating
CompuPay,operating
Taquilla,operating
PulmOne,operating
Apostrophe Apps,closed
Live Life 360,closed
Abukai,operating
Hospitality Leaders,operating
Slide,operating
E-Mist Innovations,operating
HelloDisplay,operating
NanoPack,operating
Rhone Apparel,operating
kompany,operating
PDV,operating
"nextSociety, Inc.",operating
Foxy's Pash Frozen Yogurt,operating
DiscoveryBioMed,operating
Gesto Saúde e Tecnologia,operating
Onramp BioInformatics,operating
Ferris,operating
Smallbusiness.com,closed
Axine Water Technologies,operating
Mitrionics,closed
Urban Owl Eyewear,operating
ROLI,operating
Mister Mario,operating
Intouch,operating
StatAce,closed
Wecash,operating
Neven Vision,operating
Enterprise Productivity Software (EPS) Corp.,operating
9+ Program,operating
Therma Flite,operating
SeatWish,closed
NationWide Primary Healthcare Services,operating
Sportboom,operating
Yuenimei,closed
Customizer Storage Solutions,operating
MyFrontSteps,operating
Toma Biosciences,operating
Cardiac Pathways Corp,operating
Imaxio,operating
Higher Learning Technologies(HLT),operating
Main Street Genome,operating
I AM AT,operating
Viscose Closures,operating
Calm.io,closed
YottaMark,operating
Senor Sirloin,operating
Vertical Wind Energy,operating
Celebrations.com,operating
Kolorific,operating
SponDoolies-Tech,operating
MediaSite,operating
Gate2Play,operating
Over60,closed
SterraClimb,operating
Legimi,closed
Silent Communication,operating
Linko Inc.,operating
BRANDiD - Shop. Like a Man.,operating
kidthing,operating
Expensify,operating
GymHit,operating
ClearCube,closed
Parrot,operating
Gigalocal,operating
Communify Health,closed
AeroScout,operating
Fortinet,operating
Advanced Search Laboratories,operating
SeeClickFix,operating
American Oil Solutions,operating
Potentia Power Systems,operating
viseto,operating
Medical Reimbursements of America,operating
traceMyWay,operating
SEE Forge,operating
Buzzwire,operating
EyeCyte,operating
MRPEasy,operating
Melodigram,operating
Panacela Labs,operating
CleanApp,operating
Digium,operating
Pinnacle Transplant Technologies,operating
Globe Wireless,closed
Kura MD,operating
Emair,closed
Webpgr,operating
Tingbot,operating
Mingly,closed
Bank of Georgetown,operating
Keex,operating
Keyi Technology,operating
Winster,operating
AZTherapies,operating
Respondly,operating
Mswipe Technologies,operating
Gameyola,operating
ShopFully,operating
CircuitLab,operating
Total Attorneys,operating
Cleveland Clinic,operating
Silo Labs,operating
LatinCoin,operating
Recomio,operating
Brainspace Corporation,operating
Qvella Corporation,operating
Intersoft Eurasia,operating
Swidjit,closed
Kimerick Technologies,operating
Weiboagent,operating
Melty,operating
EduVision Retail Technologies (Fastudent),operating
Snapsort,operating
Pendix GmbH,operating
MocoSpace,operating
Hivebeat,operating
Aternity,operating
Pansieve,operating
WeLink,operating
Firecomms,closed
Interface Masters,operating
JagTag,operating
Wokup,operating
Kidoodle,operating
Wuhan Kindstar Diagnostics,operating
Wizpert,operating
TipCity,operating
Spoke,operating
Realty 398,closed
General Assembly,operating
Cox Enterprises,operating
AirVM,operating
Orthogem,operating
Vital Energi,operating
OpenX,operating
Mine Shaft Brewing,operating
Sprout Pharmaceuticals,operating
HistoWiz,closed
Stentys,operating
San Marcos Springs,operating
Power Mech Projects,operating
Energryn,operating
New Ed Inc,closed
ChargeSpot,operating
MEDeCOACH,operating
Impact Engine,operating
PERORA,operating
b spot,operating
Snoball,operating
SolvAxis,operating
VBOX,operating
TiVUS,operating
Kaeuferportal,operating
Beestar,operating
Mango,operating
Webjam,operating
mmCHANNEL,operating
CrossFirst Bank,operating
BioLeap,operating
Barunsoft,operating
Nova Ideas,closed
Xelerated,operating
BioRegenerative Sciences,operating
California Arts Council,operating
Pipeline Biomedical Holdings,operating
GigMasters,closed
Flix Innovations Ltd,operating
IPV,closed
Bill's Transport,closed
Princeton eCom,operating
Active Endpoints,operating
Springfield Healthcare,operating
TrueLens,operating
Mobile Medical Testing,operating
"Field Agent, Inc.",operating
Alkymos,operating
ClickGanic,operating
Nugg-it,operating
Experenti,operating
DepoMed,operating
InstallShield Software Corporation,operating
Mr Po Media,operating
Zero Emission Energy Plants (ZEEP),operating
dcBLOX Inc.,operating
G3,operating
Energatix Studio,operating
Breezeworks,operating
Parchment,operating
Mercaris,operating
Fraud Sciences,operating
Seamless Medical Systems,operating
R&D Altanova,operating
IR Media Ventures,operating
Content Ramen,closed
OFACS LLC,operating
La Miu,operating
Decru,operating
Plethora Technology,operating
Innoz,operating
Instapio,operating
Meal In A Jar,operating
Stringify,operating
Isis Parenting,operating
Flux Factory,operating
Apartment Adda,operating
Pheed,operating
Nabsys,operating
Dragonfly List,operating
Geoforce,closed
365Scores,operating
ThinkSuit,operating
Azelon Pharmaceuticals,operating
Traffline,operating
VFA,operating
Lixto Software,operating
Lighter Living,operating
GeneWEAVE,operating
20Dresses,operating
PickUpPal,operating
payworks,operating
K-PAX Pharmaceuticals,operating
Laboratoire M2,closed
Urban Planet Media & Entertainment,operating
iHealthNetworks,operating
Dialoggy,closed
CommutePays,operating
kurv,operating
Greencloud Technologies,operating
Ember Therapeutics,closed
Sagoon,operating
Proximus,operating
Viewabill,operating
Kiwi Crate,operating
Betfair,operating
Boost My Ads,operating
Hyperloop Data,closed
Cartnav,operating
Moov cc.,operating
TNI medical,operating
foosye™,operating
Sight Machine,operating
Senior Cottage,operating
Camino Financial,closed
Ayla,closed
Gecko Health Innovations Inc. (formerly GeckoCap),operating
Popular Pays,operating
TheStylisted,operating
WholeWorldBand,operating
LightPointe,operating
PriceMatch,operating
EnOcean,operating
KUN RUN Biotechnology,operating
Check4cancer Ltd,closed
ServiceFrame,closed
PrimeRevenue,operating
Modebo,operating
Hunner Retail India Private Limited,operating
ClickMechanic,operating
ToneDen,operating
Emitless,operating
Taembe.com,operating
ThisNext,operating
DFKI,operating
Agorize,closed
RobArt,operating
Member Benefits,operating
Everseat,operating
RightNow Technologies,operating
Cubikal,operating
Gracelock Industries,operating
Wonder Forge,operating
MedSynergies,operating
NeoAccel,operating
Access Integrated Healthcare,operating
Jiffi,operating
Ebookpie,operating
WindGen Power Products,closed
Biodico,closed
Orbeus,operating
Eventap,operating
Piggydreams,operating
Qwire Holdings,closed
Social Touch,operating
Motiga,operating
FILLD,operating
Barkibu,operating
AdGent Digital,operating
AnyMeeting,operating
Amba Defence,operating
WorldCover,operating
Doctor.com,closed
Atlas Powered,operating
roomlinx,closed
Responsys,operating
Restlet,operating
